n_mut,mut_type,seed,genotypes_nnz,brick_graph_nnz,linarg_nnz,linarg_ratio,brick_graph_ratio
50,back,93,21403274,2246359,296977,72.07047683827368,9.527984618665137
50,back,94,20305261,2256053,290096,69.994970630412,9.000347509566486
50,back,95,22365607,2392786,301382,74.21016185439078,9.347098737622169
50,back,96,19993768,2166812,294892,67.8003065529075,9.227273985929559
50,back,97,20433641,2210436,294917,69.28607370887403,9.244167666469421
50,back,98,19623379,2329048,294510,66.63060337509762,8.425493592231676
50,back,99,20689851,2330124,305313,67.76603354590208,8.879291831679344
50,back,100,20508731,2231864,297600,68.91374663978495,9.189059458820072
100,back,1,19622205,2231824,293676,66.81582764679443,8.792003760153131
100,back,2,20143975,2274576,295331,68.20812918386488,8.856145057364538
100,back,3,20146574,2313402,295926,68.07976994248563,8.70863516154996
100,back,4,21509432,2350758,296416,72.56501673323977,9.1499984260396
100,back,5,20986355,2350395,294294,71.31084901493065,8.928863020896488
100,back,6,22226167,2272336,305368,72.78485957926175,9.781197410946268
100,back,7,21099623,2239928,298334,70.7248352517648,9.419777332128533
100,back,8,20525194,2114837,307716,66.70174446567614,9.705331427433887
100,back,9,19628467,2361877,287458,68.28290393727083,8.310537339582035
100,back,10,19758015,2264076,295572,66.84670740124234,8.726745480275397
100,back,11,21523917,2409089,298536,72.09822935927325,8.934463193348192
100,back,12,20424025,2269614,302451,67.52837649734998,8.998898050505504
100,back,13,21200791,2272086,309806,68.43247387074491,9.330980869562156
100,back,14,20444464,2353356,299524,68.25651366835379,8.687365617441644
100,back,15,21189197,2471884,299388,70.77503774366375,8.572083884195212
100,back,16,21124243,2341994,297688,70.96101623175943,9.019768197527407
100,back,17,21651811,2293274,310574,69.71546555732289,9.441440926814677
100,back,18,22212967,2529456,303431,73.20599081834091,8.781717096482407
100,back,19,21102546,2475924,294635,71.62267211974138,8.523099255065988
100,back,20,20406148,2356023,290744,70.18596428473158,8.661268586936545
100,back,21,19645572,2195542,294326,66.74766075711966,8.947937229167103
100,back,22,21985995,2375246,294592,74.63201648381491,9.256302294583381
100,back,23,22353078,2326970,311356,71.79266819974563,9.606087745007455
100,back,24,21032704,2166714,295317,71.22076954594554,9.707189781392469
100,back,25,22744906,2520004,307395,73.99243969485515,9.02574202263171
100,back,26,21936471,2401591,303870,72.19031493730871,9.134141075645271
100,back,27,20644721,2280778,302688,68.20462324241463,9.051613528366198
100,back,28,20804093,2254803,299408,69.48409194143109,9.226567908593346
100,back,29,20531429,2279879,297818,68.93951675184172,9.005490642266542
100,back,30,20250849,2171714,299537,67.60717039965013,9.324823158113821
100,back,31,20019415,2119937,291994,68.56104919964109,9.443400912385604
100,back,32,20365386,2325787,294911,69.05604063598848,8.756341831818649
100,back,33,19796086,2017139,302367,65.47039194091948,9.813942420428141
100,back,34,19772648,2233529,294201,67.20795646513778,8.852648879866793
100,back,35,20138208,2239247,298593,67.44367081612764,8.993294620914977
100,back,36,20380587,2220968,297333,68.54465195588784,9.176443334618059
100,back,37,20597788,2098471,303280,67.91673700870483,9.815617180318432
100,back,38,19375960,2084989,294266,65.84505175589433,9.29307540711246
100,back,39,21870410,2392229,293031,74.6351409919087,9.142272750643855
100,back,40,21942946,2208279,306395,71.61652768485125,9.936672857007652
100,back,41,20633207,2442220,292648,70.50520420436838,8.44854558557378
100,back,42,19601224,2266934,293385,66.81058677164818,8.64657903582548
100,back,43,20708446,2360619,295049,70.18646394327722,8.77246434092075
100,back,44,19843446,2314750,294548,67.36914187161345,8.572608705043741
100,back,45,21501783,2409450,299478,71.79753771562518,8.923938243167528
100,back,46,20303983,2111700,299744,67.73774621009929,9.61499408059857
100,back,47,18231350,2073714,289807,62.90859088979907,8.791641470328116
100,back,48,20697241,2245901,297335,69.60916474683438,9.215562484722167
100,back,49,21710799,2297392,301949,71.90220533931227,9.450193523786972
100,back,50,20985291,2060762,308826,67.95182724252491,10.183267645657287
100,back,51,20585014,2224458,295569,69.64537552991011,9.253945905024954
100,back,52,20728913,2357010,299242,69.2714024100895,8.794579997539255
100,back,53,19892867,2263407,299965,66.31729368426316,8.788904072488952
100,back,54,20738950,2362725,292291,70.95309126863297,8.777555576717562
100,back,55,22284766,2377976,309558,71.98898429373494,9.371316615474672
100,back,56,19262475,2149614,293927,65.5348947187567,8.9608994917227
100,back,57,19382782,2145610,295850,65.51557208044618,9.033692982415257
100,back,58,19785139,2045102,297308,66.54761728577772,9.674402059163798
100,back,59,20100323,2080457,302283,66.49504934118029,9.661494085193782
100,back,60,19088097,1960244,293251,65.0913279068102,9.737612766573957
100,back,61,21973228,2356631,303332,72.43953160233671,9.32400023593002
100,back,62,20787572,2252393,297510,69.87184296326174,9.22910522275642
100,back,63,20295070,2393452,292317,69.42829188860038,8.479413834077308
100,back,64,20376537,2192843,294376,69.21942345843411,9.292291787419346
100,back,65,20949309,2383898,303137,69.1083866370651,8.787837818564386
100,back,66,20078144,2166989,305068,65.81530675128168,9.265457277355814
100,back,67,20628901,2156245,301576,68.40365612648222,9.567048735185473
100,back,68,20911863,2268919,291482,71.74323971977687,9.21666353007754
100,back,69,19254551,2264980,293015,65.71182703957135,8.500980582610001
100,back,70,20341427,2336075,293844,69.22525898095589,8.707523088941922
100,back,71,20443138,2261435,303093,67.44840032597256,9.03989634899964
100,back,72,20849284,2327921,298042,69.95418095436213,8.956181932290658
100,back,73,20665224,2218750,299887,68.91003611360279,9.313903774647887
100,back,74,22047876,2278240,295765,74.54525045221713,9.677591474120373
100,back,75,19235904,2115010,297336,64.69416417789975,9.094947068808185
100,back,76,20656461,2235866,300655,68.70486437943822,9.238684697562377
100,back,77,20707211,2389054,294751,70.25323408571981,8.667535769388218
100,back,78,19786207,2336611,288530,68.57590891761689,8.467908008650134
100,back,79,23291757,2559978,300325,77.55517189711146,9.098420767678473
