trait	r_z	r_beta	r_se	missingness	n_variants
p30640	0.9992376924526656	0.998656825529156	0.9992835882319758	0.04947201504669578	8871037
p30160	0.9995192994907469	0.9991338986252002	0.9994662451276013	0.029243013140847676	8871565
p30720	0.9993935804000867	0.9989431957551458	0.9993407715692832	0.0447449114856111	8871237
p1727	0.999186537976055	0.9989027757170454	0.9995988698245772	0.0010804808139622132	8871954
p23460	0.9988880873837532	0.9975442377773894	0.9983030206076754	0.43462340741630023	8856742
p23468	0.9991778236288431	0.997904419732797	0.9983035768111538	0.4346934385801682	8856728
p23461	0.9992069086900585	0.9978846926362985	0.998308917338454	0.436274141993187	8856666
p23439	0.9988059763923521	0.9975726157917134	0.9983022562628989	0.4344133139246965	8856746
p20116	0.9994328441549548	0.9989978835172579	0.9995988664513845	0.0010504674580188184	8871954
p30050	0.9993116768409908	0.998891897807008	0.9994800338980907	0.027587276337970396	8871596
p23467	0.9991862798492939	0.9979676127844658	0.9983038318010719	0.4348385031338946	8856734
p48	0.9994146928466946	0.999133659693001	0.9996420999790471	0.0021559594019338606	8872078
p1717	0.9989346127406791	0.9987119614663171	0.9995988692990717	0.0010804808139622132	8871954
p1269	0.9994113625149047	0.9987775774905303	0.9991858342687836	0.065148991301129	8870220
p30750	0.9992308750384726	0.998765884979849	0.999329616486757	0.04616054144094122	8871122
p1737	0.9994687529573686	0.9991629019938871	0.999598867049665	0.0010804808139622132	8871954
p30600	0.9990672017763396	0.998137720953865	0.9989326211425851	0.1208787910620226	8869493
p30890	0.9993477398029501	0.9985474522159561	0.9989556445638865	0.08752394815692983	8869086
p30270	0.9992555651284348	0.9987415807821609	0.9993663781566032	0.0466607640399978	8871271
p30140	0.9994020411400877	0.9989512884897781	0.9994662465325043	0.029243013140847676	8871565
p30880	0.9992054112752962	0.9983361480550249	0.9991593848674852	0.0458854190114601	8871193
p30150	0.9993531027276574	0.9988668163327081	0.9994662467519015	0.029243013140847676	8871565
p30610	0.9993937629787755	0.9988879137647907	0.999338979755451	0.044754915937592225	8871215
p30740	0.9993668520541533	0.9985166217273761	0.9989292256449793	0.12199928968390934	8869414
p23410	0.9987936733283157	0.9977032654161437	0.9983022576857555	0.4344133139246965	8856746
p30700	0.9993594176216899	0.9989083885767457	0.9993411778380771	0.04527514744061107	8871228
p30000	0.9993593552543499	0.9989630376838612	0.9994800344183725	0.027587276337970396	8871596
p23470	0.99923346267811	0.9978828101813598	0.9983045883531692	0.43543877025276245	8856682
p2754	0.9989698115820378	0.9980950156943639	0.9986676592723158	0.6268189344258195	8843148
p23474	0.9992658319285186	0.9980550585161042	0.9983274120834478	0.4438725232728564	8856373
p30080	0.9994416150325861	0.9989426446532187	0.9994800353589746	0.027587276337970396	8871596
p49	0.9994488212738576	0.9991559688865777	0.999642236868033	0.00227601282570744	8872078
p30070	0.999414070565953	0.9989579877454551	0.9994800326707152	0.027587276337970396	8871596
p30660	0.9991719188149247	0.9981430542704867	0.9984930409252015	0.18686815632956666	8866768
p4194	0.999187649718581	0.9983186478449609	0.9987320497362284	0.5079160226300704	8856364
p21002	0.9994650769116483	0.9991528508957593	0.9996361380135077	0.0032914647017922975	8872057
p2443	0.9994525365240601	0.9990926116600685	0.9995988696580711	0.00106047190999995	8871954
p23408	0.99873810972923	0.9976987877759292	0.9983022550693647	0.4344133139246965	8856746
p30170	0.9993617517774525	0.9989366309648634	0.9994648382686043	0.029578162282215586	8871559
p23477	0.9992027749851135	0.9978916352489194	0.9983022708567095	0.43441831615068704	8856746
p30010	0.9994322049997894	0.9989613633289878	0.9994800320714063	0.027582274111979832	8871596
p26018	0.9990509800064454	0.9976199742504609	0.9982667389316281	0.5531611567147381	8843907
p2395	0.9993755432202973	0.9983630700744265	0.9987868080265175	0.5509051527929929	8853072
p3761	0.9985866728692212	0.9982452873897152	0.9988209516470244	0.7561414829599171	8827414
p50	0.9993790081767397	0.9990023574820388	0.9996260884799715	0.0028912866225470333	8872026
p30620	0.9992148142046298	0.9987755628234075	0.9993129716320858	0.0451250806608941	8871154
p20015	0.9993470964730493	0.9991136982797871	0.9996258246754974	0.002856271040613073	8872028
p30120	0.9992713003737114	0.9988638491983747	0.9994662458216055	0.029243013140847676	8871565
p20191	0.9991031571073776	0.9978989870793396	0.9980153889550532	0.5609096047741244	8837192
p23400	0.9986067171543346	0.9973755073106759	0.9983022557567192	0.4344133139246965	8856746
p23412	0.9988123881282345	0.9976907442403122	0.9983022546947683	0.4344133139246965	8856746
p30130	0.9994211138778333	0.9990487589374445	0.9994662453655813	0.029243013140847676	8871565
p30840	0.9993275805990596	0.9988411560484923	0.9993240695209976	0.04844655871862979	8871130
p30280	0.9993566053245546	0.9988509645175941	0.9993663826316842	0.04666576626598837	8871271
p23104	0.9994183766997866	0.9990772367903709	0.9995474123294661	0.01598211203985774	8871729
p100021	0.9990883381484696	0.9977748880547347	0.9982665654058865	0.5531161366808229	8843913
p30670	0.9994280262431898	0.9988863171782482	0.9993373763644214	0.04541020754235635	8871214
p23099	0.9993891174862845	0.9991071859315062	0.9995462391166231	0.016472330186933185	8871725
p26052	0.9991134185524005	0.9977048183593639	0.998266738728582	0.5531611567147381	8843907
p23098	0.9995090783214565	0.9991446306511272	0.9995474127479016	0.01598211203985774	8871729
p23434	0.9987244408093878	0.9974826802689877	0.998301620547486	0.43485851203785686	8856694
p30290	0.9993001556583346	0.9987884812089323	0.9993663769148456	0.0466607640399978	8871271
